i[16] address[11] load clk o[16] <set> <seq>
0000000000000001 00000000000 1 0 0000000000000000 1 1
0000000000000001 00000000000 1 1 0000000000000001 1 2
0000000000000010 00100000000 1 0 0000000000000000 1 3
0000000000000010 00100000000 1 1 0000000000000010 1 4
0000000000000011 01000000000 1 0 0000000000000000 1 5
0000000000000011 01000000000 1 1 0000000000000011 1 6
0000000000000100 01100000000 1 0 0000000000000000 1 7
0000000000000100 01100000000 1 1 0000000000000100 1 8
0000000000000101 10000000000 1 0 0000000000000000 1 9
0000000000000101 10000000000 1 1 0000000000000101 1 10
0000000000000110 10100000000 1 0 0000000000000000 1 11
0000000000000110 10100000000 1 1 0000000000000110 1 12
0000000000000111 11000000000 1 0 0000000000000000 1 13
0000000000000111 11000000000 1 1 0000000000000111 1 14
0000000000001000 11100000000 1 0 0000000000000000 1 15
0000000000001000 11100000000 1 1 0000000000001000 1 16
1111111111111111 00000000000 0 0 0000000000000001 1 17
1111111111111111 00100000000 0 0 0000000000000010 1 18
1111111111111111 01000000000 0 0 0000000000000011 1 19
1111111111111111 01100000000 0 0 0000000000000100 1 20
1111111111111111 10000000000 0 0 0000000000000101 1 21
1111111111111111 10100000000 0 0 0000000000000110 1 22
1111111111111111 11000000000 0 0 0000000000000111 1 23
1111111111111111 11100000000 0 0 0000000000001000 1 24
